,v_measure,homogeneity,completeness,Bird_ID,ref_db,win_length,hop_length,n_fft,K_nn,min_cluster_prop,embedding_method,embedding_dimensions,min_level_db
0,0.8062978808620322,0.8298633180651884,0.7840338524224028,B145,20,512,128,512,10,0.04,UMAP,2,-28
0,0.5551814899473909,0.5863336494202488,0.5271725834071374,B236,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8427058337108851,0.9140292563855933,0.7817077102516545,B258,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9470183020720324,0.9541537249164356,0.9399888083526734,B385,20,512,128,512,10,0.04,UMAP,2,-28
0,0.87979933940078,0.8729080452620593,0.8868003079420912,B402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9208641844039904,0.9280444378808796,0.9137941847312805,B447,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8656280958617023,0.8495713846662071,0.882303435577178,B507,20,512,128,512,10,0.04,UMAP,2,-28
0,0.888773640468911,0.8971154352668439,0.8805855482162563,G255,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7797764649470084,0.8300776916156682,0.7352232482586483,G397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9010936148223918,0.9260368503920487,0.8774588503971211,G402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.6443175768413013,0.6294384056879905,0.6599172309741809,G413,20,512,128,512,10,0.04,UMAP,2,-28
0,0.805047971844931,0.979947649145338,0.6831248160626237,G437,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8893965515597692,0.9864904846823713,0.8097027059510005,G439,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9524196124123588,0.9427012807947455,0.9623404042560957,G524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8490837389706597,0.9596490371581131,0.7613637433726791,G528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9017264374999749,0.8807208186988463,0.9237585265118684,O144,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9440029982557704,0.8939447713360223,0.9999999999999998,O254,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8229476291955061,0.9308758326345528,0.7374461716932742,O421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9630581426164784,0.9523727785323846,0.9739860011926038,O440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9234226445328347,0.9123118068625693,0.9348074515350364,O512,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9095564982676639,0.9260790642910176,0.8936131699184593,R402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.948599899595867,0.9156285600408085,0.9840345039536688,R425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9009511389565095,0.8880474381654972,0.9142353612252928,R469,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9412889812159596,0.9717343227865304,0.9126934453365537,S132,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8648187651034381,0.8798474313922793,0.8502948855912392,S421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.935615459875393,0.9252261792952554,0.9462407107167311,S525,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9013657387645401,0.9227295885777883,0.8809687722284829,S528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7745409240534857,0.843282381708247,0.7161618885121677,Y389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8904844973676637,0.978385770614273,0.817075820430577,Y397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9032065192843776,0.8927548488819984,0.9139058084574115,Y425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9680156637560512,0.9777946732150988,0.9584303188866495,Y440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8002258746384779,0.8946430658357674,0.7238350997898287,B524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8947745622787613,0.8772018292364363,0.9130657469136253,O434,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9720950479111211,0.9525284809862732,0.99248233545801,S389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8509444428909777,0.9065936148898042,0.8017319631414505,Y433,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7922805341170588,0.7589142129893236,0.8287157398713971,Y453,20,512,128,512,10,0.04,UMAP,2,-28
