,v_measure,homogeneity,completeness,Bird_ID,ref_db,win_length,hop_length,n_fft,K_nn,min_cluster_prop,embedding_method,embedding_dimensions,min_level_db
0,0.6768855444141996,0.763669270726381,0.6078133557857077,B145,20,512,128,512,10,0.04,UMAP,2,-28
0,0.47807754992271223,0.5020152586126904,0.45631879613155313,B236,20,512,128,512,10,0.04,UMAP,2,-28
0,0.731904779384255,0.8025783634515601,0.6726706326960702,B258,20,512,128,512,10,0.04,UMAP,2,-28
0,0.5910603292271094,0.62510361472856,0.5605335444854405,B385,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7163382376758326,0.7516241731105372,0.6842168244044128,B402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8870401153670411,0.910142924911642,0.8650811413400279,B447,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8034254873757699,0.8378997086162789,0.7716759507904629,B507,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7324677060733318,0.7702501964271696,0.6982185296576338,G255,20,512,128,512,10,0.04,UMAP,2,-28
0,0.405781432572035,0.41363142099926786,0.39822385238359753,G397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8398075339973085,0.8471988408748011,0.8325440811970035,G402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.5904912075242317,0.6891470090450752,0.5165445515996785,G413,20,512,128,512,10,0.04,UMAP,2,-28
0,0.780806541935073,0.8978714146931808,0.6907466833898002,G437,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8604961588164323,0.9361580459461439,0.7961499632972358,G439,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8220892351470177,0.8133325400919058,0.8310365392261545,G524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7229684015990823,0.8219171533127926,0.6452841041609806,G528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8128466957482786,0.7905906917072422,0.8363920590329518,O144,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7396768843999166,0.7778541555441842,0.7050717894840515,O254,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7631561865893973,0.8602487949453608,0.6857576488436806,O421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9125522391973269,0.9347599548469856,0.8913752430789146,O440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7438403289233718,0.8283019210902028,0.6750098623388957,O512,20,512,128,512,10,0.04,UMAP,2,-28
0,0.787536304321434,0.8384746648941249,0.7424326156133056,R402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9402912517300843,0.9288295424845328,0.9520393690533329,R425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9356435052980405,0.9371124030854587,0.934179205217199,R469,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8392468544156941,0.8392531439006279,0.8392405650250282,S132,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7967937379530107,0.8658156127363219,0.7379640500732078,S421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8657908220541337,0.8651347140590804,0.8664479259736627,S525,20,512,128,512,10,0.04,UMAP,2,-28
0,0.6299562315902737,0.6564206202619889,0.605543034139936,S528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.636056718462017,0.7342967493537662,0.5610014978960427,Y389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.6822236845583832,0.7653429730343563,0.6153898961692469,Y397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8118387354906275,0.8156747448003915,0.8080386377716531,Y425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.941639636772478,0.945406655180392,0.937902518957217,Y440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.839439243271296,0.8779454411545023,0.8041688457560774,B524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8778718531940065,0.8771615986557719,0.878583258877738,O434,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8326127890181795,0.8433402274544561,0.8221548325913499,S389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8459789162618335,0.8552941906450402,0.8368643668078446,Y433,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7465938544961277,0.7615933009006958,0.7321738196125251,Y453,20,512,128,512,10,0.04,UMAP,2,-28
