,Bird_ID,Group,entropy_wseg
0,B145,Isolate Adult,0.6316233509789464
1,B236,Isolate Adult,0.731459565035117
2,B258,Isolate Adult,0.5117420224185164
3,B385,Typical Adult,0.5759788859913679
4,B402,FP1 KD Adult,0.6196785655876049
5,B447,Typical Adult,0.5218158832803692
6,B507,Typical Adult,0.6314562033049371
7,G255,Isolate Adult,0.685862576014506
8,G397,FP1 KD Adult,0.5722232131783294
9,G402,Typical Adult,0.5690216079843131
10,G413,FP1 KD Adult,0.7305978620340158
11,G437,Typical Adult,0.5530245617995545
12,G439,Typical Adult,0.5918902248194041
13,G524,Typical Adult,0.6073502816527034
14,G528,Typical Adult,0.5514483652838862
15,O144,Isolate Adult,0.6435945467362318
16,O254,Isolate Adult,0.5542776490657902
17,O421,FP1 KD Adult,0.5395291582483286
18,O440,Typical Adult,0.6208757802000419
19,O512,Typical Adult,0.5022039978067675
20,R402,Typical Adult,0.5738965387303006
21,R425,Typical Adult,0.53724504413889
22,R469,Typical Adult,0.43929126410102565
23,S132,Isolate Adult,0.5243310427246867
24,S421,FP1 KD Adult,0.5415998427372328
25,S525,Typical Adult,0.6029683556032384
26,S528,Typical Adult,0.52773510860987
27,Y389,FP1 KD Adult,0.597112331474478
28,Y397,FP1 KD Adult,0.5521462116350538
29,Y425,Typical Adult,0.5604128223893768
30,Y440,Typical Adult,0.6227072148758934
31,B524,Typical Adult,0.6074167912335531
32,O434,Typical Adult,0.5314087961328329
33,S389,FP1 KD Adult,0.47877117308210115
34,Y433,Typical Adult,0.4211966188406625
35,Y453,Isolate Adult,0.7155475173752944
0,Y855_51,Juvenile,0.7029657471742198
0,S856_51,Juvenile,0.7683097446707596
0,Y856_50,Juvenile,0.7095413324999461
0,S855_51,Juvenile,0.7287063553311705
0,S833_51,Juvenile,0.751349292434907
0,O833_51,Juvenile,0.7058933086347969
0,notag833_51,Juvenile,0.7272815582351281
0,O883_51,Juvenile,0.712315082107946
0,R833_51,Juvenile,0.6876599878908671
0,O472_50,Juvenile,0.7413702802869582
0,Y472_50,Juvenile,0.6603655069304658
